Well Position,Cq,Tm1 (Melt Temperature)
A1,UNDETERMINED,87.02796936
A2,UNDETERMINED,87.02796936
A3,UNDETERMINED,86.89543915
A4,34.56062809,79.04379272
A5,UNDETERMINED,86.89872742
A6,28.81715242,86.89872742
A7,9.881867769,87.03513336
A8,UNDETERMINED,86.89492035
A9,UNDETERMINED,87.03442383
A10,UNDETERMINED,79.04325867
A11,31.55610956,78.89474487
A12,27.31683376,86.88152313
B1,23.69419367,86.88781738
B2,UNDETERMINED,86.74767303
B3,UNDETERMINED,86.75523376
B4,UNDETERMINED,78.76337433
B5,UNDETERMINED,86.75850677
B6,UNDETERMINED,86.75850677
B7,UNDETERMINED,86.89492035
B8,UNDETERMINED,86.89492035
B9,UNDETERMINED,86.75403595
B10,35.06331428,78.90306091
B11,34.29671067,78.75462341
B12,32.65770429,79.03486633
C1,UNDETERMINED,78.89944458
C2,27.58792252,86.74767303
C3,UNDETERMINED,86.75523376
C4,32.96257077,78.34275055
C5,UNDETERMINED,86.6182785
C6,UNDETERMINED,86.75850677
C7,UNDETERMINED,86.61449432
C8,UNDETERMINED,78.90274048
C9,UNDETERMINED,86.6138382
C10,34.12538599,79.18344879
C11,33.9825682,78.89474487
C12,UNDETERMINED,78.89474487
D1,32.0981481,78.7592926
D2,24.48472064,86.60752869
D3,UNDETERMINED,86.61502075
D4,UNDETERMINED,78.90357971
D5,25.6340493,86.47805786
D6,UNDETERMINED,86.6182785
D7,UNDETERMINED,86.61449432
D8,UNDETERMINED,86.61449432
D9,UNDETERMINED,86.47364044
D10,35.42500051,79.04325867
D11,39.60266196,78.89474487
D12,34.87323478,79.03486633
E1,16.39188518,86.60752869
E2,32.23787552,79.4600296
E3,24.78361869,86.61502075
E4,38.17219147,78.90357971
E5,21.26238628,86.33782959
E6,UNDETERMINED,78.76573181
E7,UNDETERMINED,86.61449432
E8,UNDETERMINED,86.61449432
E9,17.799758,86.6138382
E10,36.1006805,78.76286316
E11,36.00927804,86.74140167
E12,UNDETERMINED,86.74140167
F1,33.11516154,79.17973328
F2,UNDETERMINED,86.60752869
F3,24.9820882,86.61502075
F4,37.39157585,78.62316895
F5,15.23463169,86.33782959
F6,32.01141156,78.76573181
F7,UNDETERMINED,86.61449432
F8,34.72441202,79.04295349
F9,UNDETERMINED,86.6138382
F10,35.89308947,78.90306091
F11,31.0459083,78.47438812
F12,UNDETERMINED,86.74140167
G1,UNDETERMINED,86.74767303
G2,UNDETERMINED,79.03958893
G3,UNDETERMINED,86.61502075
G4,36.67086211,78.76337433
G5,25.00404801,86.47805786
G6,33.24128858,78.90595245
G7,UNDETERMINED,86.61449432
G8,UNDETERMINED,86.61449432
G9,UNDETERMINED,86.75403595
G10,UNDETERMINED,79.04325867
G11,UNDETERMINED,79.03486633
G12,UNDETERMINED,86.88152313
H1,UNDETERMINED,86.88781738
H2,UNDETERMINED,86.74767303
H3,UNDETERMINED,78.34275055
H4,35.64262814,78.90357971
H5,UNDETERMINED,86.6182785
H6,UNDETERMINED,78.90595245
H7,UNDETERMINED,86.47428131
H8,UNDETERMINED,78.90274048
H9,UNDETERMINED,86.75403595
H10,34.73772342,78.90306091
H11,UNDETERMINED,86.88152313
H12,UNDETERMINED,87.02164459
